Event ID,IP Address,Timestamp,Method,URL,Status Code,Size,User Agent,Threat Type
1,164.184.18.191,11/Mar/2025:21:49:00,GET,/search.php?q=<script>alert('XSS')</script>,200,776,Mozilla/5.0,XSS Attack
2,45.30.235.128,12/Mar/2025:01:16:21,GET,/vulnerable.php?cmd=whoami,200,1380,Wget/1.21,Remote Code Execution
3,78.109.70.142,11/Mar/2025:14:34:27,GET,/vulnerable.php?cmd=whoami,200,686,Wget/1.21,Remote Code Execution
4,231.226.211.50,11/Mar/2025:19:41:11,GET,/search.php?q=<script>alert('XSS')</script>,200,1261,Python-urllib/3.8,XSS Attack
5,108.22.42.108,11/Mar/2025:21:14:02,GET,/vulnerable.php?cmd=whoami,200,544,curl/7.68.0,Remote Code Execution
6,122.118.80.111,11/Mar/2025:20:01:37,POST,/upload.php,200,1340,Wget/1.21,Web Shell Upload
7,194.73.241.105,11/Mar/2025:17:09:03,GET,/vulnerable.php?cmd=whoami,200,1168,curl/7.68.0,Remote Code Execution
8,95.164.113.94,12/Mar/2025:02:30:38,GET,/vulnerable.php?cmd=whoami,200,1097,Python-urllib/3.8,Remote Code Execution
9,137.24.184.19,11/Mar/2025:22:53:35,GET,/../../../../etc/passwd,403,755,Python-urllib/3.8,Directory Traversal
10,227.122.115.163,12/Mar/2025:08:11:46,POST,/login.php,401,224,curl/7.68.0,Brute Force Attempt
11,138.63.64.31,12/Mar/2025:00:19:47,POST,/upload.php,200,636,Mozilla/5.0,Web Shell Upload
12,236.32.238.92,11/Mar/2025:19:05:09,POST,/upload.php,200,675,curl/7.68.0,Web Shell Upload
13,140.142.125.180,12/Mar/2025:00:48:39,POST,/login.php,401,327,Mozilla/5.0,Brute Force Attempt
14,46.134.213.17,11/Mar/2025:22:17:27,GET,/search.php?q=<script>alert('XSS')</script>,200,420,Wget/1.21,XSS Attack
15,71.106.71.230,11/Mar/2025:14:19:20,GET,/vulnerable.php?cmd=whoami,200,402,Wget/1.21,Remote Code Execution
16,82.6.40.207,12/Mar/2025:02:05:31,POST,/upload.php,200,980,Mozilla/5.0,Web Shell Upload
17,147.49.59.162,12/Mar/2025:06:15:52,GET,/vulnerable.php?cmd=whoami,200,726,Mozilla/5.0,Remote Code Execution
18,162.97.57.163,12/Mar/2025:02:26:00,GET,/index.php?id=1' OR '1'='1' --,200,1151,Wget/1.21,SQL Injection
19,196.1.68.106,12/Mar/2025:00:31:50,GET,/vulnerable.php?cmd=whoami,200,1094,Python-urllib/3.8,Remote Code Execution
20,119.211.118.181,11/Mar/2025:21:33:42,GET,/search.php?q=<script>alert('XSS')</script>,200,1053,curl/7.68.0,XSS Attack
21,139.240.87.253,12/Mar/2025:01:34:55,GET,/index.php?id=1' OR '1'='1' --,200,382,Wget/1.21,SQL Injection
22,110.51.133.225,12/Mar/2025:11:46:24,GET,/index.php?id=1' OR '1'='1' --,200,1367,Python-urllib/3.8,SQL Injection
23,92.220.142.135,12/Mar/2025:03:46:23,GET,/search.php?q=<script>alert('XSS')</script>,200,494,Mozilla/5.0,XSS Attack
24,176.125.53.56,12/Mar/2025:00:02:13,GET,/search.php?q=<script>alert('XSS')</script>,200,1197,Python-urllib/3.8,XSS Attack
25,135.72.157.168,11/Mar/2025:13:12:20,GET,/../../../../etc/passwd,403,665,Python-urllib/3.8,Directory Traversal
26,1.37.4.103,11/Mar/2025:17:05:03,GET,/search.php?q=<script>alert('XSS')</script>,200,306,curl/7.68.0,XSS Attack
27,219.244.153.225,12/Mar/2025:09:54:54,POST,/upload.php,200,1228,Wget/1.21,Web Shell Upload
28,178.83.161.9,12/Mar/2025:00:03:29,POST,/login.php,401,1211,Wget/1.21,Brute Force Attempt
29,134.123.207.245,12/Mar/2025:08:50:08,GET,/index.php?id=1' OR '1'='1' --,200,655,Wget/1.21,SQL Injection
30,247.251.228.87,12/Mar/2025:01:04:11,GET,/../../../../etc/passwd,403,339,Mozilla/5.0,Directory Traversal
31,5.21.253.191,12/Mar/2025:07:43:30,POST,/upload.php,200,705,Wget/1.21,Web Shell Upload
32,222.24.90.88,12/Mar/2025:08:27:26,GET,/../../../../etc/passwd,403,1018,Python-urllib/3.8,Directory Traversal
33,68.106.11.136,11/Mar/2025:17:34:37,GET,/../../../../etc/passwd,403,1147,Python-urllib/3.8,Directory Traversal
34,26.29.113.38,12/Mar/2025:10:51:09,GET,/../../../../etc/passwd,403,663,Wget/1.21,Directory Traversal
35,13.51.159.91,11/Mar/2025:13:26:37,POST,/upload.php,200,976,Mozilla/5.0,Web Shell Upload
36,197.207.232.32,12/Mar/2025:08:02:01,POST,/upload.php,200,1015,Mozilla/5.0,Web Shell Upload
37,200.25.248.7,11/Mar/2025:21:40:31,GET,/index.php?id=1' OR '1'='1' --,200,860,curl/7.68.0,SQL Injection
38,234.20.103.201,12/Mar/2025:11:51:36,POST,/upload.php,200,611,curl/7.68.0,Web Shell Upload
39,210.133.117.223,12/Mar/2025:11:33:55,POST,/login.php,401,224,Mozilla/5.0,Brute Force Attempt
40,61.219.74.48,11/Mar/2025:18:54:54,POST,/login.php,401,259,Wget/1.21,Brute Force Attempt
41,100.176.16.142,12/Mar/2025:03:33:29,GET,/../../../../etc/passwd,403,1455,Python-urllib/3.8,Directory Traversal
42,42.192.15.126,12/Mar/2025:10:00:04,GET,/search.php?q=<script>alert('XSS')</script>,200,304,Mozilla/5.0,XSS Attack
43,156.159.223.232,12/Mar/2025:06:50:18,GET,/index.php?id=1' OR '1'='1' --,200,821,Mozilla/5.0,SQL Injection
44,201.36.80.246,11/Mar/2025:22:21:20,GET,/search.php?q=<script>alert('XSS')</script>,200,425,Mozilla/5.0,XSS Attack
45,115.62.8.241,11/Mar/2025:17:41:36,POST,/upload.php,200,1050,curl/7.68.0,Web Shell Upload
46,143.158.28.197,11/Mar/2025:23:53:09,POST,/upload.php,200,827,curl/7.68.0,Web Shell Upload
47,180.119.63.97,11/Mar/2025:12:23:15,GET,/index.php?id=1' OR '1'='1' --,200,405,Python-urllib/3.8,SQL Injection
48,109.177.83.113,12/Mar/2025:02:42:29,GET,/../../../../etc/passwd,403,871,Python-urllib/3.8,Directory Traversal
49,252.60.11.138,12/Mar/2025:05:23:55,GET,/../../../../etc/passwd,403,790,curl/7.68.0,Directory Traversal
50,98.76.136.41,11/Mar/2025:12:53:36,GET,/../../../../etc/passwd,403,640,Mozilla/5.0,Directory Traversal
51,238.3.33.53,11/Mar/2025:21:10:25,GET,/search.php?q=<script>alert('XSS')</script>,200,1221,curl/7.68.0,XSS Attack
52,35.28.130.94,12/Mar/2025:01:48:06,GET,/index.php?id=1' OR '1'='1' --,200,1065,Python-urllib/3.8,SQL Injection
53,153.196.109.178,11/Mar/2025:14:03:29,POST,/login.php,401,535,Mozilla/5.0,Brute Force Attempt
54,184.170.35.172,12/Mar/2025:01:55:36,GET,/search.php?q=<script>alert('XSS')</script>,200,1191,Wget/1.21,XSS Attack
55,66.138.20.147,11/Mar/2025:13:35:28,GET,/index.php?id=1' OR '1'='1' --,200,1119,curl/7.68.0,SQL Injection
56,228.18.32.222,11/Mar/2025:13:09:39,GET,/vulnerable.php?cmd=whoami,200,1166,curl/7.68.0,Remote Code Execution
57,31.157.235.74,11/Mar/2025:16:13:52,GET,/../../../../etc/passwd,403,982,Wget/1.21,Directory Traversal
