Line id,Time,Level,Content,Event Id,Event Templte
1,Sun Mar 02 08:00:00 2025,error,mod_jk child worke,E1,dhsfvsdfychzsd
2,Sun Mar 02 08:00:05 2025,error,mod_jk child workerEnv in error state 8,E3,dhsfvsdfychzsd
3,Sun Mar 02 08:00:10 2025,error,mod_jk child workerEnv in error state 6,E3,dhsfvsdfychzsd
4,Sun Mar 02 08:00:15 2025,error,[client 192.168.1.250] Unauthorized access attempt detected: /var/www/html/admin/,E4,dhsfvsdfychzsd
5,Sun Mar 02 08:00:20 2025,notice,jk2_init() Found child 1000 in scoreboard slot 10,E1,dhsfvsdfychzsd
6,Sun Mar 02 08:00:25 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
7,Sun Mar 02 08:00:30 2025,error,[client 203.0.113.203] Unauthorized access attempt detected: /var/www/html/private/,E4,dhsfvsdfychzsd
8,Sun Mar 02 08:00:35 2025,error,[client 192.168.1.23] Unauthorized access attempt detected: /var/www/html/config/,E4,dhsfvsdfychzsd
9,Sun Mar 02 08:00:40 2025,notice,jk2_init() Found child 1001 in scoreboard slot 8,E1,dhsfvsdfychzsd
10,Sun Mar 02 08:00:45 2025,error,mod_jk child workerEnv in error state 7,E3,dhsfvsdfychzsd
11,Sun Mar 02 08:00:50 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
12,Sun Mar 02 08:00:55 2025,error,[client 198.51.100.102] Directory index forbidden by rule: /var/www/html/admin/,E4,dhsfvsdfychzsd
13,Sun Mar 02 08:01:00 2025,error,[client 192.168.1.200] Directory index forbidden by rule: /var/www/html/config/,E4,dhsfvsdfychzsd
14,Sun Mar 02 08:01:05 2025,error,mod_jk child workerEnv in error state 8,E3,dhsfvsdfychzsd
15,Sun Mar 02 08:01:10 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
16,Sun Mar 02 08:01:15 2025,error,mod_jk child workerEnv in error state 8,E3,dhsfvsdfychzsd
17,Sun Mar 02 08:01:20 2025,notice,jk2_init() Found child 1002 in scoreboard slot 8,E1,dhsfvsdfychzsd
18,Sun Mar 02 08:01:25 2025,notice,jk2_init() Found child 1003 in scoreboard slot 6,E1,dhsfvsdfychzsd
19,Sun Mar 02 08:01:30 2025,notice,jk2_init() Found child 1004 in scoreboard slot 6,E1,dhsfvsdfychzsd
20,Sun Mar 02 08:01:35 2025,notice,jk2_init() Found child 1005 in scoreboard slot 7,E1,dhsfvsdfychzsd
21,Sun Mar 02 08:01:40 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
22,Sun Mar 02 08:01:45 2025,error,[client 203.0.113.113] Directory index forbidden by rule: /var/www/html/private/,E4,dhsfvsdfychzsd
23,Sun Mar 02 08:01:50 2025,error,[client 203.0.113.215] Directory index forbidden by rule: /var/www/html/,E4,dhsfvsdfychzsd
24,Sun Mar 02 08:01:55 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
25,Sun Mar 02 08:02:00 2025,error,[client 198.51.100.95] Directory index forbidden by rule: /var/www/html/private/,E4,dhsfvsdfychzsd
